Sentence,Label
ive got a birds eye view of all the secrets you keep,0
lmfao eating pussy of what i really want my braces off its in the way ,1
 i got drugs and hugs for you bitch,1
 the fact this bird ass nigga took my phone and did a light skin pose in school smh lol ,1
even liberals are humiliated by charlie rangels claim the gop backs slavery hot air ,1
 stay shutting these hoes down,1
 he doesnt care who he hurts as long as he is happy how could anyone attend that sham of a church,0
nothing is too spicy and if it is  stop being a fucking bitch  eat more of it  cry you fucking pussy,1
 i have a friend thats abt an hour from myrtle beach and she is scared to death ,0
 hey hun,0
triple fudge brownie chunk ice cream lifechanging,0
sometimes ppl stay married cuz its convenient when u constantly bitch complain sleep in separate rooms its time to reevaluate,1
then yall idolize kanye when he wifed up a hoe lol,1
some black people live in an entirely different world where everything is peaches and cream apparently take off the rose colored glasses,0
 your disgusting you should be banned from talking about hiphop retards like you belong in the s with your retarded ass logic,1
 fuck those terrorists in the ass,1
my brother doesnt know what american horror story is bitch you lame ass fuck,1
fines hoes only ,1
 theres a difference between being actually crazy aspiring crazy real shit i cant stand fake crazy bitches,1
 if you aint bout that murder game pussy nigga shut up ,1
 yes and the and stalking weird people so many things prchat,0
 trash talked by many hated by some guess how many fucks i give its less than one ,1
 autocorrect its a bitch,1
 no fucking way he said this,0
 she should be prosecuted to the fullest extent of the law the tragic waste of such a beautiful person her incompetency and hasty judgement has ruined his family and friends lives i know she is devastated but that is little comfort to his loved ones,0
i hate all these industry fags i hope they all get the nigerian summer flu,1
my instagram is being a bitch and telling me i cant follow this person fuck this,1
 that bitch had to pull my hair to win lol so what do you tweet if you lose,1
 shut the fuck upppp kliff im bigger than you and gayer than you so dont try any shit,1
if i was stranded on a desert island and i could only bring  thing i would bring dora that hoe has everything in that backpack,1
 thats energy the city is electric gotta go to yankees stadium when they are winning it is truly electrifying,1
 only an extreme lowlife bitches abt her juniors in public rajdeep reveals his ugly character in ny http,1
im back bitches,1
took uber to from thr shakey club last weekend  total cheaper than the  parking had  extra to throw at the hoes,1
 yea u know these lil bitches be stalking are twitter for they niggas,1
thank you charlie ,0
 bitch you old ass mushroom ass bitch looking like a moldy ass toe wobbly raggedy ass vagina face bye ,1
 today is the only day you hoes get a pass for being a fool,1
 dink now uknow thats not true,0
why do some girls feel the need to be bitches for no reason at all,1
 i hate trailer trash ,1
im fasho in that hoe then tbretreat is about to be  im in that hoe for real this time,1
 i really wonder just how badly theyre going to take it when they see the results on november th given the way things seem to be looking pretty badly i bet youll have accusations of kajillions of zombified illegal aliens voting protected by antifa supersoldiers,0
if she know yo name way before you meet her then dat bitch a eatta,1
 ciara has stopped me from doing so much dumb ass shit god bless that woman,1
 bitch its not til thursday,1
 new avi thanks to b oreo,0
these hoes dont like a nigga they love my money these niggas dont like a nigga they all want somen ,1
i liked a video conor mcgregor trash talking chad mendes i can rest my balls on your forehead,1
not even sweating these hoes ,1
 maxine waters is inciting violence against conservatives thank goodness her minions switch blade wasnt working and he couldnt get it to flip open to stab the conservative house candidate,0
 hahah yes because trump beat obama in the election ,0
talking shit like a hoe about huh so like a man ima murk you wen i see you,1
please stop scoring otherwise you wont have any runs for tomorrow against romero yankees bluejays mlb,0
 millionaires just walked in why you tripping bitch you paid for the fight lmao,1
i love bad bitches it my fucking hobby and yeah theyre on all fours like a fucking doggy,1
 that old cunt needs to sit down,1
but you must know that caucasians is not like blacks they just animals and subhumans ,0
bitch ass nigga be hating on black women uncle tom bitch punk,1
 yeah im down im starting to promote for belasco thursday so u better go bitch,1
stop twatching me bitch,1
 dat bird bitchheavy birdcage bitch byyyyyyrrrrrrrrrrrrr bitch ,1
 fuck the islamic state we will kill those cunts,1
never did like that bitch,1
 im never playing flappy bird again ever fuck that game ,1
 googlecide death by dontbeevilcorp inspiring the internet bill of rights preventing leftist oligarchies from erasing people based on political beliefs transforming western civilization into a totalitarian state controlling nearly all aspects of life via the googlesplaining,0
 it was old ratchet hoes bruh,1
 hana amp hina after school its an lgbt love story and i got it for my best friend and read half and the next day went back to the comic con and bought myself the series ,0
thharmony user followed then unfollowed me what a prude ass hoe,1
 nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,1
 a sideline bitch will tell you everything you need to hear if you just listen she ultimately wants your man she dgaf a,1
 ooo logan pulling bitches,1
 fucking with a bad bitch you gone need some money lil homie,1
tail light out not giving a fuck rollin up on a bitch wit da head lights off,1
you still cant turn a hoe into a house wife ,1
holy fuck white bitch with  baby daddy straight goes who uses condoms anyways bitch maybe you should so youd stay outta the clinic,1
 females get irritated fast fuck them hoes,1
can someone beat justin beibers ass hes such little pussy,1
 man i was trying to eat nigga you said it was bitches out here i showed up for nothin ,1
 b oreo a stuntcome thru ,1
bitch niggas owe me money,1
 seniors were chill as fuck this years seniors are basic ass bitches,1
 on my way to fuck ur bitch ,1
 you are going to become of kod just like the famous ,0
 not no but hell no when blk stop sayin nigger i will what they can have i can have this is america,1
 hoes be like go talk to one of your hoes i be like you are one of my hoes,1
 almost forgot posing as an old brawd wont get you pussy needle dick beat it lollollol ,1
she was a bitch anyway,1
 fyi my favorite type of bitches,1
im about to push this niggah off my seat trying to squish me and shit,1
 stop complaining about being single hoe we have bigger problems here rn like mcdonalds doesnt serve breakfast after ,1
u oversteppin u boundires as a sideline hoe,1
niccas catchin dem theft under  charges out hereshit ugly i guess niccas tryn get it fa da holidays ,1
eagles fans will always be annoying faggots,1
 final debate cleanup journalists sure know how to trash a lobby wcvbpoli wcvb ,1
 goes into monkey bar to meet swingers,0
 breaking florida prolife gov rick scott defeats proabortion challenger charlie crist tcot http,0
 naw he should drop that bitch off in south dallas with the rest of the homeless dogs,1
 dat shit trash a shirt inspired by s emoji tattoo preorder now ,1
 to recap dem governor candidate in sc calls the gop candidate a whore txdem gov candidate mocks the gop candidates di,1
 im a boss ass bitch that needs to sit in a corner,1
 oreo drumstick ,0
aint shit like fucking another nigga bitch and askin her who pussy is this and she say yours lmao no bitch im stealing this pussy lol,1
 read my lips bitch what my mouth isnt workin,1
 pretty sure you meant flight and not flite dumb ass cracker,1
only get loud around ya team ass bitch fraud,1
lol ok cunt,1
even humming birds like the stuff ,1
 another overdose nigga,1
them shits ugly hoe all these nuggets u still actin chicken ,1
yall lonely ass bitches sure do give out a lot of relationship advice,1
 hoes is hoes niggas be mad cuhz they be tryna cuff the hoes cuh,1
 its not wrongfully characterizing its the fucking truth and you guys are just to ignorant to see it,1
 make yo bitch open her legs,1
 happy th birthday to my main hoe and partner in crime bountyhunterslyfe ,1
maybe next time i day drink ill balance it out with my bitch mary jane cause itslevelstoothisshit,1
mann are first game is  weeks from now cant wait once a redskin always a redskin ,0
killing it at home nba pacers indiana paulgeorge hoosiers basketball hashtag winning ,0
brag bout your hoes you prolly get  to no pussy,1
 gross ill stick with my galaxy it will still receive those nips,1
 a wild one in the bronx yankees score  runs in bottom of th to take  lead over red sox the halfinning took thiy,0
i just want vanilla oreos,0
i beat that pussy up up up up,1
damn those shiner rock those bud light platinum and that ciroc,1
cheated my way to get hahaha this bitch funny if youre so worried about me then stop subtweeting me dumb ass,1
 republicans love to say its too early to talk about common sense gun control after these events what they really want is people to forget and amnesia to kick in so they can ignore doing their jobs which is to protect the public gun control works and rs just procrastinate,0
its boner sunday bitch,1
fuck around and waste my time and ill fuck that bitch you hate and that one friend you love,1
 can go straight the crapper ill never support another team again,1
 whooooo chelsey fuck her lol she juss a bitch,1
his bitch wan fuck me cuz he sneak dissin me ,1
 kick the absolute shite out of the car,1
headed straight to the top bitch,1
lmaoooooooo you woke up a faggot didnt you my nigga aint get carded since i was a sophomore b,1
some girls think being a bitch and having an attitude is attractive who tf made you think that,1
 swag fags are now hibernating because great america and christmas in the park are both closed ,1
lmaoooooo eat that goal faggot ,1
 on set of bluebloods hoping there are no birds perched above me ,1
fat hoes on twitter calling themselves barbies bitch you aint no damn barbie you a damn care bear,1
the weeknd is why bitches love dark skin fellas now,1
 i got bitches definition im with some female friends who dont know that im referring to them as bitches,1
 ugly bitch has blood on her hands for her whore ways,1
 when you realize bae is a hoe ,1
 hell yea bitch,1
i dont kiss none of these hoes ,1
 the shines its lights in yankees pinstripes in honor of derek jeter farewellcaptain ,0
 i see you again didnt election bird for government america that okay i guess i just take this free cookie for everyo,0
 i cant why you up hoe ,1
 oh i wouldve stood up fall back hoe,1
anybody remember that movie thumbelina i didnt noticed how flamin the bird was until now,0
 hope you got what you wanted bitch,1
 what in the mother fuck is flappy bird,1
 woah did this bitch say love ,1
 umm fuck yeah i would,1
model bitches in the gym working on they fitness but it dont mean nothing cuz they still gon buy some titties,1
 nothing like waiting till the last game of the season to peddle it shit website heeb,1
 these hoes aint loyal no they aint smfh wonder why nobody decent wants them,1
 bitch bought her son some talking bout i had to get em before they sold out,1
 main bitches saying i hate a send me a pic ass nigga be answering every single one of dj ricearonis request,1
im like rashad and i did her like when he found out the ghetto truth about newnew,1
 no wonder you run nose first for yo real nigger white devil massahs or any man pointing at another to convince u he is less,1
 if your tweets have never offended anyone then you tweet like a little bitch,1
 im goin now so be expecting to get slept faggot,1
 if having hoes excite you you still a lil nigga ,1
 i miss you too faggot ,1
 bitch ask a day off,1
dad brought me home a watermelon eegee but i dont like it so its going in the trash ,0
 bitch call me,1
 using words such as dick and pussy in regular convo is just too vulgar for me,1
 quickscoping trash take of the tony hawk setup and play normally thats not what snipers are for,0
 the first day of school lost student say bro you know whe me cho bitch ass up ,1
 lets hangout monday nigs,1
follow my nigga cg_bugatti niggaz hated nd flagged his possibly fucked ya bitch thats why yall ,1
my side bitch is my main bitch cuz my main bitch aint feelin me nomonomo,1
 sweetest bitch youll ever meet,1
 u want me to panda express so someone can break up the like fuck stick to plan and go to plano get that bitch out your blood,1
 really thou im looking like hulk hogan in this bitch,1
gabbys a bitch and has two accounts,1
 is the most important thing all this temporary bullshit and lies is fa the birds kill that ,1
 customers at like you make the prices like no bitch i dont,1
 ya lil dumb ass bitch ian fwy,1
 bitch dats yo sahara desert ass,1
 how about you wash my butthole out with your tongue you little faggot,1
that son of a bitch moment when you turn the radio on and your favorite song is on but its the end of the song,1
seriously who cares what color somebody is that makes you a huge faggot in my book,1
 be sure to just cover liberals pov thats what you do not fair amp balanced,0
mom heard a song about some guy with bitches and a long something or other so he could fuck the world for  hours or something lolol,1
 dear mr science if human so better how come they cant be bird oh im sorry was that too logic for you,0
 come out her pussy and go in her ass come out her ass and go in her mouth that way she wont tell nobod,1
 idc about yall bitches yo,1
 carrey is looking more like a tranny every day ,1
build a bear build a bitch,1
i thought i love this bitch to the core,1
 awww cupcakes suck it up she lost get over it ,1
my tweets aint shit but you bitches aint either ,1
 lmfaooo girlfights ghetto ratchet bitch got pushed and played sleep ,1
 i just feel bad for the women that continually flock to such darkness thugs talk the big talk to simple minded hoes and to their own,1
 you have no sense of humor so back off their backs ur a lil bitch and im ,1
 i love a bitch wit sum nice teeth n lips,1
 loyalty now lets get this money i got uu got me no hoes just us ,1
 and im not stuck up you niggas just love assuming bitches want yall when we just being nice ,1
 new orleans in that bitch serious,1
sum of yall kno yall be on lock but talking bout bitch i aint doing shit tonight ho im tired ,1
cheer up charlie,1
 see bitch this is why you have no friends,1
 if yo new niggah cant dress better then me or even close to looking better then me dnt try to make me ,1
 im ugly so dont worry about me having hoes,1
really barnicle oj or anthony weiner mj is a clown show for teabaggers and the rich come on msnbc do you want good ratings morningjoe,1
 io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,1
 bitch trying to turn this shit like facebook,1
yes that game is pretty good its truly  negroid killing action aka mini rahowa but i would like to see a expansion set of it next mission in harlem laugh that would be perfect then ,1
 ugly flat chested prude ass white bitch,1
 this is bullshit some crappy pop star in philly instead of the fresh prince amp dj jazzy jeff all of america needs to take a knee over this,1
bitches be half naked in their avis talking about i dont send nudes,1
curiosity killed the cat bitches gunna die out here just to see my head game,1
i bet that nigga got charged for murder for tha intro of gucci vs guwop cause straight killed that hoe freegucci freeradric,1
 i seen a thot ass bitch in some high top whites,1
i dont know maybe it is a good quote and a good way to feel but ive seen way too many petty lifedestroying bitches use that quote,1
 proud shit is fire no matter what weather youre in no matter if your house temperature is high or low everyones just too pussy to get in the water for  min cuz after that you get used to the temp,1
 and you can see how close he is to tears i know how hard it is to lose an old friend theyre irreplaceable,0
 better nig lol but if anything ill flip u the  or something im tryna get some more cash,1
if youre a whiney bitch have a zima and shut the fuck up democrats ,1
first thing i do when i hit the lotto is buying two fat bitches and watching her eat both in one sitting,1
 yes like going after the pc on plastic bags so that could get their own way on uni credit and austerity and even now go back on a promise to cut tax for self employed,0
 correction antifa peaceful protesters,0
 well theres difference between erick erickson and me ive always understood obama is muslim jihadi sympathizer ,0
 could you please refrain from being a dumb bitch,1
duh aka shitty nights city nights is hella ghetto,1
ion have hoes so really you have no reason to worry about me cheating if anything ill cheat on you with my left hand lbr,1
 really does talk like a buck nigger,1
 gayer then  faggots in bed together,1
 beautiful wall color i dont love these bitches and you shouldnt either ,1
youre no way near about that life bitch lmao,1
 black bitches be like boy i told you not to get my hair wet ,1
 happy birthday fag boy,1
 i gotta curve these hoes before they have a chance to curve me ,1
 lmao u aint a savage these hoes for everybody,1
 big booty hoes everywhere sheesh damn ,1
 yaaaasssss it is you are buhlowin up my timeline negro ,1
after tonight many more nights to come i will show you what a cold hearted bitch can do donefeedup solo,1
 you niggaz really think yo niggazn yo bitch solid guarantee yo nigga will hav her choosin n wont tell ya,1
 lmaooooooo aint fuckin no bitch with doo doo in her butt while im foreplaying the fuck,1
 if a mf really like you theyll drop all their hoes exes groupies and focus only on you ,1
 your opinion is irrelevant because youre a cunt ,1
donkey son of a bitch mother fucker,1
 homo ass crackers,1
 you might not but the reaction was the same everyone said that brand was trash yet all his sh,1
 how could i be a fag but i like bitches please tell me,1
 bitch shutup,1
 people do speak out for gun control amp against gun violence if you dont see it youre choosing not to pay attention amp thats just wilful ignorance on your part,0
 its me hoe its me hoe shhhhh,1
 its unexplainable how booty and fucking ass these bitches be they live to be funny,1
rubs hands like bird man,0
 what these bitches want from ah nigga ,1
somebody couldve been like aye man you dropped your money but nooooooo fucking broke faggots selfish bastards i hate yall,1
he needs too we win titles when he smacks hoes big ben gone smack another hoe after this lost sorry ,1
since cats lick themselves all the time they should be great at eattin pussy,1
 one mans trash is another mans girlfriend,1
 and im beautiful bitch,1
 fuck me then bitch shut up and roll threw,1
i thought that bitch was trynna line me,1
 sick of bitches bitching about other bitches,1
 elza m jones was whipppppppen and drifting last night lol we was tu this ma niggah ,1
yankees wasted nuñezs season rays mlb,0
 happy monday bitches just wanted you to know yes you can dont ever fucking forget how amazing and strong you are,1
have you noticed when white s beat on blacks they usually end it with one punch and then leave the ape alone ,1
youre a bitch i hate you,1
 lmao bitch know we stand there everyday ,1
hahahaaha my teacher just realed these thots she said you need to stop acting ghetto cause its not cute,1
 it sucks rachels sister is such a snobby bitch n rach is so nicecant stand elissa so snutty,1
 uh excuse me bitch you dont need to shout ,1
i absolutely love my shanti regardless what we go through thats my bitch,1
whatwouldyouchangeaboutyourpast the hoes i wasted time with,1
 he just declassified fisa court info on carter page he is a danger to security loose lips sink ships is his motto,0
 denial is a bitch youresilly,1
this bitch ask me why i dont hit her upand that i dont talk to herbitch want me to hit her up so she can ignore or respond hours later,1
 bad bitches ,1
wheres this bitches parents tho go home you thot,1
 as u should thats jus a clutch ass spot bitch we in there for the turn up ,1
you think id learn by now that once red flag bullshit appears to gtfo but nooooo i have to have faggot ass faith in people,1
 and heres me fucking ya mom ,1
 harlem shake is just an excuse to go full retard for  seconds,1
and when bitches be like me and him against the world bitch dont nobody even know yall together _ nobody hating,1
dumb ugly stupid bullshit ass bitch ,1
 okay now im going to krispy kreme for realfat bitch this nigga trying ,1
 all these hoes always talkin shit about there guy look bitch if your gonna talk shit to me ill be happy to smack you in yo,1
 you always say we dont love these hoes yet yo girl a hoe ,1
god damn zebras every virginia possession the whistle blows geeze,0
 yeah the internet def taught me a bitch cant twerk if she talkin bout voting,1
vanessa is such a fuckin faggot,1
josef just pitted slight possibility he can make it the remaining  laps but i highly doubt it will need yellow indyfest,0
ion care if im in the wrong bitch dont blow ur horn at me,1
my favorite dc restaurant is charlie palmers ,1
two days gone she been gone so long you cant get her on the phone cuz that bitch done been wit meeeeee,1
this bitch is wearing an angry birds sweater judgepeopleatschoolday,1
alabama won tho so roll tide bitch,1
carol is gonna george and lenny this bitch,1
i do not think anyone looks up to white negroes just the black ones and then they become wiggers ,1
faggots are merely a scientific indicator that something is wrong do not celebrate as unique indiviuals for they are cancer,1
 keep them around so new bitches know they could be the next ex if they dont stay in line,1
lmaoooooo that bitch stripping at a murder scene my view ,1
 i was hoping you went with the mr chow part on hangover  but did you die dumb bitch ass sloot,1
charlie jacobs got confused about the ice bucket challenge and instead dumped a bucket of diamonds on his head,1
 you mean bitch ass pussy,1
     how many niggers are in my store i knooooooow your stealing ,1
these hoes be trying much doing much,1
 on the pussy ,1
httpnewsbbccoukhiafricastm there you have it folks nigeria is acting like one big ghetto queen squeezing out more baby negroes for a bigger handout from the government ,1
man stop acting like faggots and go for the win ,1
 ratchet looking nigger,1
 hang in there she is alive,0
 you deserve x august alsina im dedicating that to all my old side hoes ,1
 metoo is the best weapon the liberals have because there is no due process its all disgusting and woman are the ones using it as the weapon shameful and typical liberalism use emotions for their own benefit poster child for using woman,0
i wish bitches would be straight up wit their friends and tell em they look ugly when they really do and not say they cute smh,1
 shes a model on instagram but shes just a hoe from my town,1
 this bitch ask me why my jeans sag cuz they tryna hold my bandz up ,1
 dont be  on here and saying all my friends and everyone i know has a baby well bitch life,1
 the devil made me do it the ugly face of liberals i feel sorry for the innocent honest ones that are just brainwashed,0
 when u go through baes phone theres no hoes on there ,1
oriental rugs cause im flyer than a dove,0
 tweety bird tho ,1
 bitch plz whatever ,1
realdonaldtrump youve been rather quiet today i hope that you have spent some time thinking about your endgame with vlad i know you probably know this but you are very expendable to him when we take the country back what will you dohe will not be happy with you ponder this,0
 nope never taken neighbors actual stuff just wifi acct info in their trash cans at am super easy,0
bad bitches is the only thing that i like bblu this saturday bblu suedelounge richgirls,1
bring another bitch for a real nigga,1
 this bitch was so ungrateful ,1
i could never bring myself to fw a bitch or nigga that wears everybody else shit like um no your broke bummy ya fuccing boof ,1
 people who r mentally stable know when to beat their kids when to talk to them clubs hoes stop by dads should n,1
 no i dont fuck with those hoes ask paco he does,1
eat your vegetables or youll grow up to be a pussy,1
 bitch get that job first,1
bitch and who the fuck r u am speak when the fuck i feel like it and stop a pussy ass nigga and box the fuck up,1
 i cant wait to wear warm fuzzy sweaters ,0
im tired of seeing this disturbing bitch with  tits,1
like literally after im done texting someone when i dont text back i slide the bitch to the left id win that money,1
 naah da twitter bird ,0
some of these sex gifs are fucking retarded,1
i feel like slapping a bitch,1
run in ya spot smash ya hoe fuck on ya couch,1
 its so unfair that the hoes get to dress up as hoes for halloween,1
 well thats some cracker jack secret service work there jfk anyone,0
 i think pats trying to say his pussy is too bombedidk,1
pornandroidiphoneipadsexxxx homemade using my submissive bitch outdoor home made amateur ,1
 never invest money into a broke bitch ,1
ladies if your head game better than your pussy,1
ladies you are not a hoe if you fucked on the first night dont let these lonely bitches lie to you,1
 fuck yes we are triple xp nigguh,1
 this bitch,1
call me a dumb bitch but ion even know wtf ebola is ,1
 i love how sweet girls have sweet pussies ,1
 doggpound never left hip hop fans just turned into hoes literally ratchet broads that pretend to like baske,1
nigga i got pill poppin bitches in the backkkk of the cherokee,1
 dont message me your number and tell me to text you im not your bitch lol,1
i know that karmas too real so i hope you doin cool but still stupid ass bitch i aint fuckin with you,1
im literally about to scream and throw a bitch fit if people dont hurry the fuck up,1
 these you are too young responses are condescending af personally i have no issue wwire coat hangers being used to protest bc god forbid women dont have access to safe abortion some may try any method to attempt a terminationesp teen girls,0
 in their primes mj would have dominated lbj in  on  just so much mentally tougher mjs trash talk alone would unn,1
slap a hoe,1
why is all these artist and new ones making so much trash,0
 rick james aint even slap his bitches that hard,1
 a photographer hid in a trash can to get these adorable engagement photos ,0
 fox news presenters mock female pilot who took part in campaign against isis wtf ,1
 when hoes feel like their photo didnt get enough favorites thats me thirsty ass,1
every spic cop in losangeles is loyal to the latinkings,1
  birds your grandkids may never see thanks to climate change climate,1
 with his time of service he is going through waivers i thought he was a vet who just went to free agency i guess it just depends on his last two seasons and if they count,0
 somebody looks like the die on the first tubes on flappy bird lol,0
 bros before hoes except chicks with no clothes everywhere,1
i cannot be worried bout no bitch cause i know a bitch could be somewhere sucking a dick ayeeee,1
 you dont get bitches take care the mos overrated album that has been released in the last  years,1
 bitch meet up,1
 i just saw a bad bitch on here from mf switzerland and feel in love,1
my job some hoes how you gonna call at  talking bout come to work at  ummm no im staying in bed,1
this isnt murica charlie brown rejectedpeanutsspecials,0
 your man looks terrified in that picture do you beat him or just treat him like a regular bitch,1
 its like the guy that asks for your number and then says you ugly and a bitch when you say no,1
 at the end of the day they call yo dumb ass monkey pickananny hoe but u luv them white devils,1
 is the voice behind s mustard on the beat hoe,1
 dont no woman want a man that acts like a bitch,1
 im done with bitter bitches its a wrap for that if you a angry bird theres a app for that ,1
 being a good citizen picking up trash ,0
 since you couldnt keep my dick outa your mouth at least keep my name out of it yall some hoes for real,1
 how yall hoes do instagram rates ,1
like that bitch ernest or somebody,1
u ever seen a bitch talk shit about another bitch then u see them hanging together,1
my niggas bigger then the bouncer roll up in the bitch still smell like an ounce,1
 if you know yo pussy smells like death why tf would you sit there an let a nigga finger you bitches have no shame man,1
 cool beaners i just got home ready to keep my couch from floating away lol,0
 right in the pussy,1
if u a bitch an i hadddd u i wouldnt give a fuck if chris brown bagged u bitch i had u already lol,1
 i blatantly believe that men look creepy as shit with a ghetto ass mustache,1
like a skinny model boney bitch,1
 fucking on the first night dont make you a hoe ,1
 nigga what i was talking bout after school or when ever your choice bitch,1
hello and to them bitches i just want him to keep them lies to his self,1
ga charlie ,1
 haha bitch ,1
this bitch fell straight through the chair im high of course i laughed even if i wasnt i wouldve still laughed,1
 im signing up and its ghetto as fuck lmaoo,1
 you a pussy i see yo whiskers,1
 lol everyones a lil bitch,1
i need me a real loyal ass bitch ,1
 if youre attractive you think any straight guy just wants to be your friendbitch you stupid,0
 you know dan i used to think you were a pretty competent newsman now i can clearly see you are nothing more then a paid whore who sells himself and his once stellar reputation trying to be relevant again ,0
watch we salute the vets tuesday jihadi bitch slaying mk ms fired at taliban cockroaches during firefight ,1
 who remembers this bitch ,1
 if you aint got shit goin for ya self what bitch gone want you,1
 stfu bitch,1
 there is absolutely no point in debating a liberal your party has swung so far left and have nothing but hate all rationale has fleeted your side trump could create world peace and a utopian society and liberals would still resist for no other reason than your hatred,0
at  good luck nh nh im   one of you bitches better reproduce with me i can give you an athlete,1
same with all of europe after the evil yellow invasion ,1
 bitch those are the same options,1
 its goldbar dumb bitch and no my dad wouldnt pick you up he doesnt like faggots like you ,1
 bitch and the fuck u wanna do about then nigga stfu talking and do something,1
speak to my face you fake bitches,1
im in the zone like the secondary no lie bitch im flier then a pet canary,1
 hahahaha when her pussy better than you expected it to be ,1
 she said its ok if u let ur man punch u in ur pussy as long as he makes u cum,1
sick of hearing ap kids bitch about their oh so poor  gpa no one cares,1
 i dont trust girls cant trust these hoes,1
hoes be like my niggas cant have no hoes but that how he meet yo ass,1
never let them hoes get in between of what we started,1
 tell your bitch that im that nigga now,1
bitches be in they feelings to much like live bitch,1
same that was back when i found myself listening to mad real hip hop zero bitches in sight,1
just lets you know we all self conscious even the pretty bitches,1
